year,category,winner,nominee,detail
1992,Outstanding Comedy Series,0,BROOKLYN BRIDGE (Season 1),CBS
1992,Outstanding Comedy Series,0,CHEERS (Season 10),NBC
1992,Outstanding Comedy Series,0,Home Improvement (Season 1),ABC
1992,Outstanding Comedy Series,1,Murphy Brown (Season 4),CBS
1992,Outstanding Comedy Series,0,Seinfeld (Season 3),NBC
1993,Outstanding Comedy Series,0,CHEERS (Season 11),NBC
1993,Outstanding Comedy Series,0,Home Improvement (Season 2),ABC
1993,Outstanding Comedy Series,0,Murphy Brown (Season 5),CBS
1993,Outstanding Comedy Series,1,Seinfeld (Season 4),NBC
1993,Outstanding Comedy Series,0,The Larry Sanders Show (Season 1),HBO
1994,Outstanding Comedy Series,1,Frasier (Season 1),NBC
1994,Outstanding Comedy Series,0,Home Improvement (Season 3),ABC
1994,Outstanding Comedy Series,0,Mad About You (Season 2),NBC
1994,Outstanding Comedy Series,0,Seinfeld (Season 5),NBC
1994,Outstanding Comedy Series,0,The Larry Sanders Show (Season 2),HBO
1995,Outstanding Comedy Series,1,Frasier (Season 2),NBC
1995,Outstanding Comedy Series,0,Friends (Season 1),NBC
1995,Outstanding Comedy Series,0,Mad About You (Season 3),NBC
1995,Outstanding Comedy Series,0,Seinfeld (Season 6),NBC
1995,Outstanding Comedy Series,0,The Larry Sanders Show (Season 3),HBO
1996,Outstanding Comedy Series,1,Frasier (Season 3),NBC
1996,Outstanding Comedy Series,0,Friends (Season 2),NBC
1996,Outstanding Comedy Series,0,Mad About You (Season 4),NBC
1996,Outstanding Comedy Series,0,Seinfeld (Season 7),NBC
1996,Outstanding Comedy Series,0,The Larry Sanders Show (Season 4),HBO
1997,Outstanding Comedy Series,0,3rd Rock From The Sun (Season 2),NBC
1997,Outstanding Comedy Series,1,Frasier (Season 4),NBC
1997,Outstanding Comedy Series,0,Mad About You (Season 5),NBC
1997,Outstanding Comedy Series,0,Seinfeld (Season 8),NBC
1997,Outstanding Comedy Series,0,The Larry Sanders Show (Season 5),HBO
1998,Outstanding Comedy Series,0,3rd Rock From The Sun (Season 3),NBC
1998,Outstanding Comedy Series,0,Ally McBeal (Season 1),FOX
1998,Outstanding Comedy Series,1,Frasier (Season 5),NBC
1998,Outstanding Comedy Series,0,Seinfeld (Season 9),NBC
1998,Outstanding Comedy Series,0,The Larry Sanders Show (Season 6),HBO
1999,Outstanding Comedy Series,1,Ally McBeal (Season 2),FOX
1999,Outstanding Comedy Series,0,Everybody Loves Raymond (Season 3),CBS
1999,Outstanding Comedy Series,0,Frasier (Season 6),NBC
1999,Outstanding Comedy Series,0,Friends (Season 5),NBC
1999,Outstanding Comedy Series,0,Sex And The City (Season 1),HBO
2000,Outstanding Comedy Series,0,Everybody Loves Raymond (Season 4),CBS
2000,Outstanding Comedy Series,0,Frasier (Season 7),NBC
2000,Outstanding Comedy Series,0,Friends (Season 6),NBC
2000,Outstanding Comedy Series,0,Sex And The City (Season 2),HBO
2000,Outstanding Comedy Series,1,Will & Grace (Season 2),NBC
2001,Outstanding Comedy Series,0,Everybody Loves Raymond (Season 5),CBS
2001,Outstanding Comedy Series,0,Frasier (Season 8),NBC
2001,Outstanding Comedy Series,0,Malcolm In The Middle (Season 2),FOX
2001,Outstanding Comedy Series,1,Sex And The City (Season 3),HBO
2001,Outstanding Comedy Series,0,Will & Grace (Season 3),NBC
2002,Outstanding Comedy Series,0,Curb Your Enthusiasm (Season 2),HBO
2002,Outstanding Comedy Series,0,Everybody Loves Raymond (Season 6),CBS
2002,Outstanding Comedy Series,1,Friends (Season 8),NBC
